method	split	id	cluster
embedding	heldout	doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e	doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e
embedding	heldout	doc:v1:ec8030bc87ae7ab84a1cb7f16c503cb917861fcbf5cebcf3c7f71218b43d2f08	doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e
embedding	heldout	doc:v1:88caade3e36296a1727e743a75214101d39fc31c9dd3a0fd21ca02a7ab658e73	doc:v1:88caade3e36296a1727e743a75214101d39fc31c9dd3a0fd21ca02a7ab658e73
embedding	heldout	doc:v1:c521c551c5628cb263c1420939f61ded5ea294a0506930ca9dfe61f9cd4d9de0	doc:v1:88caade3e36296a1727e743a75214101d39fc31c9dd3a0fd21ca02a7ab658e73
embedding	heldout	doc:v1:d2bcc5adcfe7a56468265bb3c70fe798033ae99ceae2ac5801818ceb8244332b	doc:v1:d2bcc5adcfe7a56468265bb3c70fe798033ae99ceae2ac5801818ceb8244332b
embedding	heldout	doc:v1:6c1d7e36d03ec445b0d5925b33f90f61720f88a8a787d4e934c9a02e27ddbbd8	doc:v1:d2bcc5adcfe7a56468265bb3c70fe798033ae99ceae2ac5801818ceb8244332b
embedding	heldout	doc:v1:ead46ed0f4b9c3c868240f52adab12d0a06e44a8e19ef075290bd15f8ff2714e	doc:v1:ead46ed0f4b9c3c868240f52adab12d0a06e44a8e19ef075290bd15f8ff2714e
embedding	heldout	doc:v1:a4a8c8c1f5bee642b74a9199843c9caddd7e8c89dc7fee017c83237b33063f4c	doc:v1:a4a8c8c1f5bee642b74a9199843c9caddd7e8c89dc7fee017c83237b33063f4c
embedding	heldout	doc:v1:a3ef7253aba2ecea4e543f228b72607d4b0bf540f9482c9c4e5150d948ad9269	doc:v1:a3ef7253aba2ecea4e543f228b72607d4b0bf540f9482c9c4e5150d948ad9269
embedding	heldout	doc:v1:ff775d99751fcf09896f37ae6eaa260baeaa346db1bf7fcb024a68f5a960e331	doc:v1:ff775d99751fcf09896f37ae6eaa260baeaa346db1bf7fcb024a68f5a960e331
embedding	heldout	doc:v1:4c04d5715edcd6071fc95709e7109ac3cc6f820f028e5faf6ab1a8a8c32338ac	doc:v1:4c04d5715edcd6071fc95709e7109ac3cc6f820f028e5faf6ab1a8a8c32338ac
embedding	heldout	doc:v1:080c6ae2a62624a6bd2abc4e2e6de9409775876a83cc65423e917c22721deefa	doc:v1:080c6ae2a62624a6bd2abc4e2e6de9409775876a83cc65423e917c22721deefa
embedding	heldout	doc:v1:70b1af70a60cefe903a2f4d34ac20502993edb610e20b82ad7d1763dd35a7e53	doc:v1:70b1af70a60cefe903a2f4d34ac20502993edb610e20b82ad7d1763dd35a7e53
embedding	heldout	doc:v1:9d153840a80ff76bbabb3c06e591f2a70d0d38a2dcea291447d99b1778c48b14	doc:v1:9d153840a80ff76bbabb3c06e591f2a70d0d38a2dcea291447d99b1778c48b14
embedding	heldout	doc:v1:090ac25bd428334101fecba6d37d4b53966a1ead27bb20838139d9c4fadb4e8d	doc:v1:090ac25bd428334101fecba6d37d4b53966a1ead27bb20838139d9c4fadb4e8d
embedding	heldout	doc:v1:21904f8490691e7cc49dc4d24d1b812750e0eee395ea9d0acd1c998db5ae5b73	doc:v1:21904f8490691e7cc49dc4d24d1b812750e0eee395ea9d0acd1c998db5ae5b73
embedding	heldout	doc:v1:40f488fd85ac9ef0d041409b1eb682a086b060ed33d5c2be17a55392afcbaa91	doc:v1:40f488fd85ac9ef0d041409b1eb682a086b060ed33d5c2be17a55392afcbaa91
embedding	heldout	doc:v1:1389fce3ed9233022716aec80f89f831c7fa6fbd2c879fe2df2ff38ab87d6897	doc:v1:1389fce3ed9233022716aec80f89f831c7fa6fbd2c879fe2df2ff38ab87d6897
lexical	train	doc:v1:6a3eecc6dfee2e8d1fccf271596f953ad2e450b868927250484dbf0205ac478c	doc:v1:6a3eecc6dfee2e8d1fccf271596f953ad2e450b868927250484dbf0205ac478c
lexical	train	doc:v1:9cac9ef970a159cf9981387f88f1f690bd169efe454ee04f60ee919ecf22c06e	doc:v1:6a3eecc6dfee2e8d1fccf271596f953ad2e450b868927250484dbf0205ac478c
lexical	train	doc:v1:96bbb2e7a61c104915d268c9c85d5928b8a43b2d17ef920a204de13ee8174654	doc:v1:96bbb2e7a61c104915d268c9c85d5928b8a43b2d17ef920a204de13ee8174654
lexical	train	doc:v1:5602161e28baee5edade9c4914eec329a46cf8a95240c3d129cd766e4c63d1e4	doc:v1:96bbb2e7a61c104915d268c9c85d5928b8a43b2d17ef920a204de13ee8174654
lexical	train	doc:v1:1a62fc45bbc7309411a0926f0b6e12aaf36a4098cc3aaff146af4a092c17b2b5	doc:v1:1a62fc45bbc7309411a0926f0b6e12aaf36a4098cc3aaff146af4a092c17b2b5
lexical	train	doc:v1:eba671091f70c4ff5fd6127f24187c91f239e5f4e343b83f2e4eea6f265e7ec2	doc:v1:1a62fc45bbc7309411a0926f0b6e12aaf36a4098cc3aaff146af4a092c17b2b5
lexical	train	doc:v1:1a27df44072bbd256d83edf3c3672b15cca7fb3e826bbf3852e4f420d0db3f6f	doc:v1:1a27df44072bbd256d83edf3c3672b15cca7fb3e826bbf3852e4f420d0db3f6f
lexical	train	doc:v1:328a3bd6e00a958cee92d190c8e5668d1bf7a9dfd9e72970461f2e1c90941092	doc:v1:328a3bd6e00a958cee92d190c8e5668d1bf7a9dfd9e72970461f2e1c90941092
lexical	train	doc:v1:7a5e620bde9d6a4ccba2d216181c39fe94ec7b555aeaa9d46d5f3ea73d8fe7e1	doc:v1:7a5e620bde9d6a4ccba2d216181c39fe94ec7b555aeaa9d46d5f3ea73d8fe7e1
lexical	train	doc:v1:95de2970a58acb3aa95f30a4f5b65414a5c39822d831cf8226bec5e642c25465	doc:v1:95de2970a58acb3aa95f30a4f5b65414a5c39822d831cf8226bec5e642c25465
lexical	train	doc:v1:ec42621b518e0e19433c675a7d0fde4f3912120801c4469b8015650c708f4d5d	doc:v1:ec42621b518e0e19433c675a7d0fde4f3912120801c4469b8015650c708f4d5d
lexical	train	doc:v1:e11621d5ebb4c458eee8a2454c2a6188d4acf089bc72540569319590277d35ac	doc:v1:e11621d5ebb4c458eee8a2454c2a6188d4acf089bc72540569319590277d35ac
lexical	train	doc:v1:27068e649b235c658d2dc1c9a6d60a88a90c6c49bff8a737952510eaf310ea91	doc:v1:27068e649b235c658d2dc1c9a6d60a88a90c6c49bff8a737952510eaf310ea91
lexical	train	doc:v1:fb654efc7ab48dd818fc821d6dce59b22f2754980fd6b0c61fe9e9b3b828e48a	doc:v1:fb654efc7ab48dd818fc821d6dce59b22f2754980fd6b0c61fe9e9b3b828e48a
lexical	train	doc:v1:a481f6c3c619bdefd0d06903bf61ab6f2b636f828d089c44026a37a55fdd77ae	doc:v1:a481f6c3c619bdefd0d06903bf61ab6f2b636f828d089c44026a37a55fdd77ae
lexical	train	doc:v1:a04937135349947d0359debedc73446b581372d0ffcf8c49e3660418e228916d	doc:v1:a04937135349947d0359debedc73446b581372d0ffcf8c49e3660418e228916d
lexical	train	doc:v1:51cfc35e664e5cf55bb0dc253f865aef33c538ad92a8e29d2ca32e57ff2bc41a	doc:v1:51cfc35e664e5cf55bb0dc253f865aef33c538ad92a8e29d2ca32e57ff2bc41a
lexical	train	doc:v1:4e709149be341cf33211d1d8d55c45e45417878331731f8717b59c8c07f3ef45	doc:v1:4e709149be341cf33211d1d8d55c45e45417878331731f8717b59c8c07f3ef45
lexical	heldout	doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e	doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e
lexical	heldout	doc:v1:ec8030bc87ae7ab84a1cb7f16c503cb917861fcbf5cebcf3c7f71218b43d2f08	doc:v1:8b3b4f2c87828993b1d575c4e94f5ea90dcadfb112395994c170fb4dc4a6bb8e
lexical	heldout	doc:v1:88caade3e36296a1727e743a75214101d39fc31c9dd3a0fd21ca02a7ab658e73	doc:v1:88caade3e36296a1727e743a75214101d39fc31c9dd3a0fd21ca02a7ab658e73
lexical	heldout	doc:v1:c521c551c5628cb263c1420939f61ded5ea294a0506930ca9dfe61f9cd4d9de0	doc:v1:88caade3e36296a1727e743a75214101d39fc31c9dd3a0fd21ca02a7ab658e73
lexical	heldout	doc:v1:d2bcc5adcfe7a56468265bb3c70fe798033ae99ceae2ac5801818ceb8244332b	doc:v1:d2bcc5adcfe7a56468265bb3c70fe798033ae99ceae2ac5801818ceb8244332b
lexical	heldout	doc:v1:6c1d7e36d03ec445b0d5925b33f90f61720f88a8a787d4e934c9a02e27ddbbd8	doc:v1:d2bcc5adcfe7a56468265bb3c70fe798033ae99ceae2ac5801818ceb8244332b
lexical	heldout	doc:v1:ead46ed0f4b9c3c868240f52adab12d0a06e44a8e19ef075290bd15f8ff2714e	doc:v1:ead46ed0f4b9c3c868240f52adab12d0a06e44a8e19ef075290bd15f8ff2714e
lexical	heldout	doc:v1:a4a8c8c1f5bee642b74a9199843c9caddd7e8c89dc7fee017c83237b33063f4c	doc:v1:a4a8c8c1f5bee642b74a9199843c9caddd7e8c89dc7fee017c83237b33063f4c
lexical	heldout	doc:v1:a3ef7253aba2ecea4e543f228b72607d4b0bf540f9482c9c4e5150d948ad9269	doc:v1:a3ef7253aba2ecea4e543f228b72607d4b0bf540f9482c9c4e5150d948ad9269
lexical	heldout	doc:v1:ff775d99751fcf09896f37ae6eaa260baeaa346db1bf7fcb024a68f5a960e331	doc:v1:ff775d99751fcf09896f37ae6eaa260baeaa346db1bf7fcb024a68f5a960e331
lexical	heldout	doc:v1:4c04d5715edcd6071fc95709e7109ac3cc6f820f028e5faf6ab1a8a8c32338ac	doc:v1:4c04d5715edcd6071fc95709e7109ac3cc6f820f028e5faf6ab1a8a8c32338ac
lexical	heldout	doc:v1:080c6ae2a62624a6bd2abc4e2e6de9409775876a83cc65423e917c22721deefa	doc:v1:080c6ae2a62624a6bd2abc4e2e6de9409775876a83cc65423e917c22721deefa
lexical	heldout	doc:v1:70b1af70a60cefe903a2f4d34ac20502993edb610e20b82ad7d1763dd35a7e53	doc:v1:70b1af70a60cefe903a2f4d34ac20502993edb610e20b82ad7d1763dd35a7e53
lexical	heldout	doc:v1:9d153840a80ff76bbabb3c06e591f2a70d0d38a2dcea291447d99b1778c48b14	doc:v1:9d153840a80ff76bbabb3c06e591f2a70d0d38a2dcea291447d99b1778c48b14
lexical	heldout	doc:v1:090ac25bd428334101fecba6d37d4b53966a1ead27bb20838139d9c4fadb4e8d	doc:v1:090ac25bd428334101fecba6d37d4b53966a1ead27bb20838139d9c4fadb4e8d
lexical	heldout	doc:v1:21904f8490691e7cc49dc4d24d1b812750e0eee395ea9d0acd1c998db5ae5b73	doc:v1:21904f8490691e7cc49dc4d24d1b812750e0eee395ea9d0acd1c998db5ae5b73
lexical	heldout	doc:v1:40f488fd85ac9ef0d041409b1eb682a086b060ed33d5c2be17a55392afcbaa91	doc:v1:40f488fd85ac9ef0d041409b1eb682a086b060ed33d5c2be17a55392afcbaa91
lexical	heldout	doc:v1:1389fce3ed9233022716aec80f89f831c7fa6fbd2c879fe2df2ff38ab87d6897	doc:v1:1389fce3ed9233022716aec80f89f831c7fa6fbd2c879fe2df2ff38ab87d6897
